Team_Name,Player_Name,Player_No,espn_url,Position,Age,Height,Weight,College,Salary,espn_id,espn_headshot
Portland Trail Blazers,Rayan Rupert,72,https://www.espn.com/nba/player/_/id/5099752/rayan-rupert,G,19,"6' 6""",185 lbs,--,$1_119_563,5099752,https://a.espncdn.com/i/headshots/nba/players/full/5099752.png
Portland Trail Blazers,Shaedon Sharpe,17,https://www.espn.com/nba/player/_/id/4914336/shaedon-sharpe,SG,20,"6' 5""",205 lbs,Kentucky,$6_313_800,4914336,https://a.espncdn.com/i/headshots/nba/players/full/4914336.png
Portland Trail Blazers,Anfernee Simons,1,https://www.espn.com/nba/player/_/id/4351851/anfernee-simons,SG,24,"6' 3""",193 lbs,--,$24_107_143,4351851,https://a.espncdn.com/i/headshots/nba/players/full/4351851.png
Portland Trail Blazers,Matisse Thybulle,4,https://www.espn.com/nba/player/_/id/3907498/matisse-thybulle,SG,27,"6' 5""",201 lbs,Washington,$10_500_000,3907498,https://a.espncdn.com/i/headshots/nba/players/full/3907498.png
Portland Trail Blazers,Jabari Walker,34,https://www.espn.com/nba/player/_/id/4432446/jabari-walker,F,21,"6' 7""",227 lbs,Colorado,$1_719_864,4432446,https://a.espncdn.com/i/headshots/nba/players/full/4432446.png
Sacramento Kings,Harrison Barnes,40,https://www.espn.com/nba/player/_/id/6578/harrison-barnes,SF,31,"6' 8""",225 lbs,North Carolina,$17_000_000,6578,https://a.espncdn.com/i/headshots/nba/players/full/6578.png
Sacramento Kings,Chris Duarte,3,https://www.espn.com/nba/player/_/id/4592402/chris-duarte,SG,26,"6' 5""",190 lbs,Oregon,$4_124_400,4592402,https://a.espncdn.com/i/headshots/nba/players/full/4592402.png
Sacramento Kings,Kessler Edwards,17,https://www.espn.com/nba/player/_/id/4397693/kessler-edwards,SF,23,"6' 7""",203 lbs,Pepperdine,$1_927_896,4397693,https://a.espncdn.com/i/headshots/nba/players/full/4397693.png
Sacramento Kings,Keon Ellis,23,https://www.espn.com/nba/player/_/id/4702177/keon-ellis,G,24,"6' 3""",175 lbs,Alabama,$683_430,4702177,https://a.espncdn.com/i/headshots/nba/players/full/4702177.png
Sacramento Kings,Jordan Ford,31,https://www.espn.com/nba/player/_/id/4066736/jordan-ford,G,25,"6' 1""",175 lbs,Saint Mary's,--,4066736,https://a.espncdn.com/i/headshots/nba/players/full/4066736.png
Sacramento Kings,De'Aaron Fox,5,https://www.espn.com/nba/player/_/id/4066259/deaaron-fox,PG,26,"6' 3""",185 lbs,Kentucky,$32_600_060,4066259,https://a.espncdn.com/i/headshots/nba/players/full/4066259.png
Sacramento Kings,Kevin Huerter,9,https://www.espn.com/nba/player/_/id/4066372/kevin-huerter,SG,25,"6' 7""",198 lbs,Maryland,$15_669_643,4066372,https://a.espncdn.com/i/headshots/nba/players/full/4066372.png
Sacramento Kings,Colby Jones,20,https://www.espn.com/nba/player/_/id/4433378/colby-jones,G,21,"6' 6""",207 lbs,Xavier,$2_019_706,4433378,https://a.espncdn.com/i/headshots/nba/players/full/4433378.png
Sacramento Kings,Mason Jones,22,https://www.espn.com/nba/player/_/id/4395704/mason-jones,G,25,"6' 4""",200 lbs,Arkansas,--,4395704,https://a.espncdn.com/i/headshots/nba/players/full/4395704.png
Sacramento Kings,Alex Len,25,https://www.espn.com/nba/player/_/id/2596107/alex-len,C,30,"7' 0""",250 lbs,Maryland,$2_019_760,2596107,https://a.espncdn.com/i/headshots/nba/players/full/2596107.png
Sacramento Kings,Trey Lyles,41,https://www.espn.com/nba/player/_/id/3136196/trey-lyles,PF,28,"6' 9""",234 lbs,Kentucky,$8_000_000,3136196,https://a.espncdn.com/i/headshots/nba/players/full/3136196.png
Sacramento Kings,JaVale McGee,0,https://www.espn.com/nba/player/_/id/3452/javale-mcgee,C,36,"7' 0""",270 lbs,Nevada,$2_019_706,3452,https://a.espncdn.com/i/headshots/nba/players/full/3452.png
Sacramento Kings,Davion Mitchell,15,https://www.espn.com/nba/player/_/id/4278053/davion-mitchell,PG,25,"6' 0""",202 lbs,Baylor,$5_063_760,4278053,https://a.espncdn.com/i/headshots/nba/players/full/4278053.png
Sacramento Kings,Malik Monk,0,https://www.espn.com/nba/player/_/id/4066262/malik-monk,SG,26,"6' 3""",200 lbs,Kentucky,$9_945_830,4066262,https://a.espncdn.com/i/headshots/nba/players/full/4066262.png
Sacramento Kings,Keegan Murray,13,https://www.espn.com/nba/player/_/id/4594327/keegan-murray,SF,23,"6' 8""",225 lbs,Iowa,$8_409_000,4594327,https://a.espncdn.com/i/headshots/nba/players/full/4594327.png
Sacramento Kings,Domantas Sabonis,10,https://www.espn.com/nba/player/_/id/3155942/domantas-sabonis,PF,27,"6' 10""",240 lbs,Gonzaga,$30_600_000,3155942,https://a.espncdn.com/i/headshots/nba/players/full/3155942.png
Sacramento Kings,Jalen Slawson,18,https://www.espn.com/nba/player/_/id/4398207/jalen-slawson,F,24,"6' 7""",215 lbs,Furman,--,4398207,https://a.espncdn.com/i/headshots/nba/players/full/4398207.png
